N	종목명	현재가	전일비	등락률	액면가	시가총액	상장주식수	외국인비율	거래량	PER	ROE
118,OCI,"120,000","3,000",-2.44%,"5,000","28,619","23,849",17.98,"303,915",-18.81,-9.89,
119,한솔케미칼,"250,000",500,-0.20%,"5,000","28,338","11,335",41.66,"23,578",21.85,24.50,
120,현대차우,"115,500",500,-0.43%,"5,000","28,132","24,357",58.91,"29,639",13.98,N/A,
121,대한전선,"3,225",220,+7.32%,500,"27,621","856,473",2.20,"168,080,368",230.36,0.92,
122,KCC,"309,000","8,500",-2.68%,"5,000","27,459","8,886",12.28,"48,491",3.19,12.79,
123,하이트진로,"38,950",200,-0.51%,"5,000","27,317","70,134",7.42,"507,111",33.69,8.23,
124,DL이앤씨,"138,000","2,000",-1.43%,"5,000","26,715","19,359",27.24,"92,560",N/A,N/A,
125,현대로템,"24,000","2,000",-7.69%,"5,000","26,194","109,142",6.80,"8,317,013",55.56,2.84,
126,KODEX 단기채권,"102,830",10,-0.01%,0,"25,726","25,018",0.00,"6,551",N/A,N/A,
127,포스코인터내셔널,"20,750",700,-3.26%,"5,000","25,600","123,375",12.02,"916,785",9.90,7.69,
128,더존비즈온,"83,600","1,000",+1.21%,500,"25,365","30,341",39.93,"165,980",46.55,15.09,
129,한샘,"107,000","3,000",-2.73%,"1,000","25,181","23,534",23.30,"115,363",34.33,10.83,
130,BNK금융지주,"7,580",50,+0.66%,"5,000","24,706","325,935",38.68,"1,616,111",4.30,6.11,
131,DB하이텍,"55,500",100,+0.18%,"5,000","24,641","44,399",14.49,"1,507,658",15.56,23.07,
132,한화,"32,750",400,+1.24%,"5,000","24,549","74,959",18.47,"404,564",8.39,4.79,
133,한화에어로스페이스,"48,050",150,-0.31%,"5,000","24,328","50,630",19.27,"314,482",10.89,4.78,
134,현대위아,"88,800",800,-0.89%,"5,000","24,149","27,195",6.83,"376,797",156.89,1.96,
135,메리츠금융지주,"17,700",400,+2.31%,500,"23,720","134,011",7.91,"273,564",4.14,16.06,
136,대웅,"39,450","1,400",+3.68%,500,"22,937","58,142",4.25,"718,611",26.66,15.10,
137,KODEX 200선물인버스2X,"1,900",10,-0.52%,0,"22,865","1,203,400",2.38,"85,378,872",N/A,N/A,
138,LS,"69,800","1,800",-2.51%,"5,000","22,476","32,200",14.21,"216,797",12.29,3.94,
139,TIGER 200,"43,365",110,+0.25%,0,"22,463","51,800",0.00,"187,287",N/A,N/A,
140,현대엘리베이,"54,000","1,600",-2.88%,"5,000","22,040","40,815",29.20,"466,796",19.69,9.78,
141,현대해상,"23,850",0,0.00%,500,"21,322","89,400",30.14,"556,149",5.76,7.13,
142,메리츠화재,"17,600",200,+1.15%,500,"21,230","120,625",11.01,"705,316",4.45,16.91,
143,효성,"100,000","1,500",+1.52%,"5,000","21,071","21,071",9.61,"87,651",74.74,-2.26,
144,동국제강,"22,000",550,-2.44%,"5,000","20,995","95,433",22.89,"1,304,835",9.97,3.35,
145,현대백화점,"88,500",700,-0.78%,"5,000","20,711","23,402",19.64,"125,832",21.24,1.65,
146,오뚜기,"549,000","2,000",+0.37%,"5,000","20,159","3,672",13.69,"10,747",20.82,7.93,
147,영원무역,"45,200",100,-0.22%,500,"20,029","44,311",26.37,"72,951",12.96,8.03,
148,금호타이어,"6,970",240,+3.57%,"5,000","20,022","287,260",3.82,"2,390,393",-131.51,-6.74,
149,한전기술,"51,800","1,800",-3.36%,200,"19,798","38,220",2.35,"386,061",118.26,N/A,
150,한화시스템,"17,900",350,+1.99%,"5,000","19,731","110,230",1.81,"588,150",20.48,9.35,
151,KG동부제철,"19,550",550,-2.74%,"5,000","19,552","100,009",0.42,"356,860",21.67,7.18,
152,농심,"320,500","4,500",+1.42%,"5,000","19,495","6,083",15.00,"130,284",15.14,7.50,
153,한국앤컴퍼니,"20,500",700,+3.54%,500,"19,462","94,935",10.00,"298,360",9.45,5.08,
154,HDC현대산업개발,"29,300",0,0.00%,"5,000","19,311","65,907",10.74,"775,507",9.33,8.85,
